date,pair,session_date,prev_high,prev_low,close_ny,adr20,atr14,pivot,r1,r2,s1,s2,range_pct
2026-07-25,EURJPY,2026-07-24,186.61,186.232,186.344,0.778,0.746,186.395,186.559,186.773,186.18,186.017,48.6
2026-07-25,AUDUSD,2026-07-24,0.70002,0.6965,0.69836,0.00419,0.0044,0.69829,0.70009,0.70181,0.69657,0.69477,84
2026-07-25,EURGBP,2026-07-24,0.85542,0.85301,0.85349,0.00336,0.00321,0.85397,0.85494,0.85638,0.85253,0.85156,71.7
2026-07-25,USDCAD,2026-07-24,1.4115,1.40656,1.4094,0.00528,0.00534,1.40915,1.41175,1.41409,1.40681,1.40421,93.6
2026-07-25,USDCHF,2026-07-24,0.81859,0.81538,0.81822,0.00493,0.00492,0.8174,0.81941,0.82061,0.8162,0.81419,65.1
2026-07-25,NZDUSD,2026-07-24,0.58029,0.57681,0.57898,0.00445,0.00461,0.57869,0.58058,0.58217,0.5771,0.57521,78.2
2026-07-25,AUDNZD,2026-07-24,1.20856,1.20546,1.20639,0.00604,0.0062,1.2068,1.20815,1.2099,1.20505,1.2037,51.3
2026-07-25,XAUUSD,2026-07-24,4080.69,4022.09,4053.47,90.77,93.1,4052.09,4082.08,4110.69,4023.48,3993.48,64.6
2026-07-27,USDJPY,2026-07-24,163.941,163.651,163.854,0.716,0.635,163.815,163.979,164.105,163.69,163.526,40.5
2026-07-27,EURUSD,2026-07-24,1.14,1.13654,1.13723,0.00507,0.00521,1.13792,1.13931,1.14138,1.13585,1.13446,68.2
2026-07-27,GBPUSD,2026-07-24,1.3349,1.33065,1.33245,0.00757,0.00757,1.33267,1.33468,1.33692,1.33043,1.32842,56.1
2026-07-27,EURJPY,2026-07-24,186.61,186.232,186.344,0.778,0.748,186.395,186.559,186.773,186.18,186.017,48.6
2026-07-27,AUDUSD,2026-07-24,0.70002,0.6965,0.69836,0.00419,0.00442,0.69829,0.70009,0.70181,0.69657,0.69477,84
2026-07-27,EURGBP,2026-07-24,0.85542,0.85301,0.85349,0.00336,0.0032,0.85397,0.85494,0.85638,0.85253,0.85156,71.7
2026-07-27,USDCAD,2026-07-24,1.4115,1.40656,1.4094,0.00528,0.00537,1.40915,1.41175,1.41409,1.40681,1.40421,93.6
2026-07-27,USDCHF,2026-07-24,0.81859,0.81538,0.81822,0.00493,0.00493,0.8174,0.81941,0.82061,0.8162,0.81419,65.1
2026-07-27,NZDUSD,2026-07-24,0.58029,0.57681,0.57898,0.00445,0.00462,0.57869,0.58058,0.58217,0.5771,0.57521,78.2
2026-07-27,AUDNZD,2026-07-24,1.20856,1.20546,1.20639,0.00604,0.0062,1.2068,1.20815,1.2099,1.20505,1.2037,51.3
2026-07-27,XAUUSD,2026-07-24,4080.69,4022.09,4053.47,90.77,93.27,4052.09,4082.08,4110.69,4023.48,3993.48,64.6
2026-07-27,USOIL,2026-07-24,92.85,86.99,90.51,3.67,4.55,90.12,93.24,95.97,87.38,84.26,159.7
2026-07-28,USDJPY,2026-07-27,163.798,163.329,163.747,0.726,0.627,163.625,163.92,164.093,163.452,163.156,64.6
2026-07-28,EURUSD,2026-07-27,1.14176,1.13665,1.13681,0.00507,0.00521,1.13841,1.14016,1.14352,1.13505,1.1333,100.8
2026-07-28,GBPUSD,2026-07-27,1.33638,1.32844,1.32889,0.00761,0.00759,1.33124,1.33403,1.33918,1.32609,1.3233,104.3
2026-07-28,EURJPY,2026-07-27,186.754,185.999,186.154,0.765,0.748,186.302,186.606,187.057,185.851,185.548,98.7
2026-07-28,AUDUSD,2026-07-27,0.70105,0.69858,0.69898,0.00419,0.0043,0.69954,0.70049,0.70201,0.69802,0.69707,58.9
2026-07-28,EURGBP,2026-07-27,0.856,0.85257,0.85546,0.00341,0.00322,0.85468,0.85678,0.85811,0.85335,0.85125,100.6
